Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Council,Location.lat,Location.lon,Street,Photo,Photo 2,Notes
70,Parklets,published,15/11/2020 22:41,,15/11/2020 22:30,Hobsons Bay,-37.868913,144.830267,Pier Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb1aea10ded7-edited_edited_img_20201114_134544.jpg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb1aea1155e7-edited_img_20201114_133015.jpg,"Pier Street, Altona, between Queen Street and Blyth Street, is closed off on weekends and turned into a parklet. This is the main cafe strip in Altona."
71,Parklets,published,15/11/2020 23:40,,15/11/2020 23:39,Hobsons Bay,-37.870746,144.838182,Millers Rd,,,
72,Parklets,published,16/11/2020 0:56,,16/11/2020 0:55,Moonee valley,-37.766775,144.921589,Puckle,,,
73,Parklets,published,16/11/2020 0:57,,16/11/2020 0:56,Moonee valley,-37.766684,144.9213,Puckle,,,
74,Parklets,published,16/11/2020 2:19,,16/11/2020 2:09,Glen Eira,-37.884097,144.99912,Glenhuntly Road,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb1e1c23aa93-gh_parklet2.jpg,,
75,Parklets,published,16/11/2020 3:44,,16/11/2020 3:44,Bayside City Council,-37.950491,145.003845,Melrose Street,,,
76,Parklets,published,16/11/2020 3:45,,16/11/2020 3:44,Bayside City Council,-37.950791,145.003407,Melrose Street 2,,,
77,Parklets,published,16/11/2020 6:44,,16/11/2020 6:42,Boroondara,-37.818261,145.035725,Mary Street hawthorn,,,
78,Parklets,published,16/11/2020 8:31,,16/11/2020 8:18,Yarra,-37.825328,144.995649,"Clifton St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb238cba6a27-4313b99b-0484-493d-b570-19fad59b7750.jpeg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb238caae6d4-9aa992b8-a591-4f98-b2f7-e262246dea56.jpeg,
79,Parklets,published,16/11/2020 8:35,,16/11/2020 8:31,Yarra,-37.82604,144.999458,"Brighton St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb239cb203d1-2eb01c70-1105-4375-99bc-53f3930c75ba.jpeg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb239ca4344f-dceaeb52-93e7-4d58-8f73-f8467b1d01bf.jpeg,
80,Parklets,published,16/11/2020 8:37,,16/11/2020 8:35,Yarra,-37.827037,145.009473,"Stawell St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb23a5d1f60c-d7a45045-5018-43c9-a266-961fd11f4c50.jpeg,,
81,Parklets,published,16/11/2020 9:30,,16/11/2020 9:29,Yarra,-37.801023,144.997666,Stafford St,,,
82,Parklets,published,16/11/2020 10:12,,16/11/2020 10:08,City of Greater Bendigo,-36.758261,144.281869,Bull Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb2509f5e245-inbound9030428731854198969.jpg,,
83,Parklets,published,16/11/2020 10:15,,16/11/2020 10:14,Boroondara,-37.818255,145.03586,Mary Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb251306c72b-inbound2382088224321812559.jpg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb25130f1821-inbound2029874707439977722.jpg,
84,Parklets,published,16/11/2020 10:16,,16/11/2020 10:15,City of Greater Bendigo,-36.758216,144.276966,View Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb251854dd42-inbound3135517511799323779.jpg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb25184cde4e-inbound8706240453550917700.jpg,
85,Parklets,published,16/11/2020 22:21,,16/11/2020 22:20,City of Melbourne,-37.7989,144.968601,Faraday Street,,,DOC
86,Parklets,published,16/11/2020 22:22,,16/11/2020 22:21,City of Melbourne,-37.797781,144.96723,Lygon Street,,,Milk the Cow - Carlton
87,Parklets,published,16/11/2020 22:23,,16/11/2020 22:22,City of Melbourne,-37.797691,144.969109,Drummond Street,,,Taquito and Vincent the Dog (shared)
88,Parklets,published,16/11/2020 22:24,,16/11/2020 22:23,City of Melbourne,-37.799285,144.967078,Lygon Street,,,
89,Parklets,published,17/11/2020 1:52,,17/11/2020 1:08,Moonee Valley City Council,-37.732384,144.867043,"14 Centreway, Keilor East",,,
90,Parklets,published,17/11/2020 2:05,,17/11/2020 2:04,Manningham,-37.784601,145.126426,619 Doncaster Rd,,,Rooftop Parklets
91,Parklets,published,17/11/2020 3:07,,17/11/2020 3:05,Yarra,-37.819637,145.007236,Neptune Street,,,Bouzy Rouge parklet dining on Neptune Street.
92,Parklets,published,17/11/2020 3:39,,17/11/2020 3:22,Hobsons Bay,-37.870677,144.838149,Millers Rd Altona,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb345fe26f78-inbound3042170477259263619.jpg,,
93,Parklets,published,17/11/2020 6:14,,17/11/2020 6:13,Wyndham,-37.883204,144.69983,Old Geelong Road,,,
94,Parklets,published,17/11/2020 9:38,,17/11/2020 9:37,Wyndham,-37.882492,144.700134,Old Geelong Road,,,
95,Parklets,published,17/11/2020 10:41,,17/11/2020 10:38,Yarra,-37.825548,144.991316,"Stephenson Street, Cremorne",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb3a8e9a307f-b543d752-a872-44f5-81a6-e0074acf3cc7.jpeg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb3a8e95ecd0-b4684813-543e-4a84-92a2-1bed60eb8e9f.jpeg,
96,Parklets,published,17/11/2020 10:50,,17/11/2020 10:48,Yarra,-37.819548,145.004897,"Lord St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb3aadc0ad88-2ef9ff9c-d54d-4f58-9923-758b245e04aa.jpeg,,
97,Parklets,published,17/11/2020 10:51,,17/11/2020 10:50,Yarra,-37.819853,145.007128,"Neptune St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb3ab4048c8c-fd009ca4-8fe8-4b56-aca3-7fc1f2c49092.jpeg,,
98,Parklets,published,17/11/2020 22:37,17/11/2020 22:47,17/11/2020 22:18,Boroondara,-37.816268,145.036317,"Rococo Hawthorn - Corner of Glenferrie Road & Hawthorn Grove, Hawthorn 3122",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb45313bdd1d-rococo%20hawthorn%20parklet.jpg,,Glenferrie Hawthorn will have over 20 parklets serving 29 businesses over the summer '20 '21 along with new massive beer gardens along Burwood Road.
99,Parklets,published,18/11/2020 2:05,,18/11/2020 2:04,City of Port Phillip,-37.834599,144.946391,Crockford Street,,,Outdoor dining (with swings) for the Cornerstone Hotel
100,Parklets,published,18/11/2020 3:41,18/11/2020 3:44,18/11/2020 3:38,Moonee Valley City,-37.766331,144.923069,17 Hall St,,,Mango Lounge
101,Parklets,published,18/11/2020 3:42,18/11/2020 3:44,18/11/2020 3:41,Moonee Valley City,-37.735629,144.918807,315 Napier St,,,Edward Abbot
102,Parklets,published,18/11/2020 3:42,,18/11/2020 3:42,Moonee Valley City Council,-37.770151,144.926229,650 Mt Alexander Rd,,,Escagrill
103,Parklets,published,18/11/2020 3:43,,18/11/2020 3:43,Moonee Valley City,-37.736504,144.91908,293 Napier St,,,Revitalise
104,Parklets,published,18/11/2020 3:44,,18/11/2020 3:44,Moonee Valley City,-37.755525,144.902124,285-287 Buckley St,,,North & Eight
